[{'timestamp': 'Jun 18 2018 09:18:31', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:32', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:32', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:33', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:34', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:35', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:36', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:37', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:38', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:39', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:39', 'pm2.5': 33}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:40', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:41', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:42', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:43', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:44', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:45', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:45', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:46', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:47', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:48', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:49', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:50', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:51', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:51', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:52', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:53', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:54', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:55', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:56', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:57', 'pm2.5': 31}, {'isSent': False}]
